"objective_1","objective_2"
"-85.22459671020508","-1081.296820449829"
"-79.03375709533691","-1082.1511000061034"
"-85.01071426391601","-1091.227882385254"
"-81.27565223693847","-1104.4283139801025"
"-79.11279670715332","-1061.5891374206542"
"-85.16755256652831","-1061.5101499176026"
"-87.13729263305665","-1068.306321105957"
"-83.51170318603516","-1077.1878169250488"
"-82.2490015411377","-1085.9192035675048"
"-78.20504981994628","-1094.3932414245605"
