objective_1,objective_2
-1.1167336,-7.8195505
-0.53399867,-8.293269
-0.81726044,-7.854002
-0.16091293,-11.014775
-0.1456081,-11.028136
-0.31213877,-9.317014
-1.1781759,-7.4559855
-0.39775488,-8.682898
-0.24986804,-9.657036
-0.7152718,-8.023399
-0.18986587,-9.767534
