objective_1,objective_2
-5.3704653,-9.603955
-10.865411,-8.49016
-9.563159,-8.767882
-10.8329525,-8.623105
-4.830154,-9.727429
-2.6520267,-11.662156
-3.1630282,-11.435434
-6.5046425,-9.313517
-6.7029123,-9.039358
-9.029808,-8.7735615
-4.3866343,-9.971525
