"objective_1","objective_2"
"-0.14891813695430756","-11.901453018188477"
"-0.1776711791753769","-11.907510757446289"
"-0.15612496435642242","-11.839266777038574"
"-0.19425678253173828","-11.980804443359375"
"-0.18397337198257446","-11.73971939086914"
"-0.1696290373802185","-12.000222206115723"
"-0.15947817265987396","-11.974526405334473"
"-0.14379628002643585","-11.83681869506836"
"-0.16539734601974487","-11.824396133422852"
"-0.16830255091190338","-11.752401351928711"
"-0.15187418460845947","-11.9440279006958"
